price,name,sold,img,link
679,"Original Bath and Body Works Mist, White T-Shirt, 236ml",5 sold,https://down-ph.img.susercontent.com/file/a8fc78d2c987943436ca8448395c9f37_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-White-T-Shirt-236ml-i.67102570.18218169003?sp_atk=3fa6ed3d-42d2-4c50-bb84-905a7d0bc71b&xptdk=3fa6ed3d-42d2-4c50-bb84-905a7d0bc71b
525,"Bath and Body Works Mist, Almond Blodsom, 236ml",2 sold,https://down-ph.img.susercontent.com/file/14ba43357d3de90e58d106b466608840_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Almond-Blodsom-236ml-i.67102570.14388929591?sp_atk=040ac985-b23d-469b-a711-6c7b6a61d044&xptdk=040ac985-b23d-469b-a711-6c7b6a61d044
499,"Nature Made Fish Oil 1200mg (350 Omega3), 100 Softgels",1 sold,https://down-ph.img.susercontent.com/file/c93d8707a234db233dcbfba111c58a2e_tn,https://shopee.ph/Nature-Made-Fish-Oil-1200mg-(350-Omega3)-100-Softgels-i.67102570.20116451206?sp_atk=022eec45-e9ec-4efd-abb9-e9df8370d7df&xptdk=022eec45-e9ec-4efd-abb9-e9df8370d7df
510,"Original Bath and Body Works Mist, Sleigh Rides & Snuggles, 236ml",1 sold,https://down-ph.img.susercontent.com/file/61d333c5908e7d48a4557a8102911160_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Sleigh-Rides-Snuggles-236ml-i.67102570.14287290010?sp_atk=81b5e8b2-60d3-48d4-9ece-b6afe5989bc0&xptdk=81b5e8b2-60d3-48d4-9ece-b6afe5989bc0
450,"Original Bath and Body Works Mist, Coconut Lime, 236ml",,,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Coconut-Lime-236ml-i.67102570.21918612867?sp_atk=9871c48f-7b0d-4336-8f81-4126d677926a&xptdk=9871c48f-7b0d-4336-8f81-4126d677926a
499,"Bath and Body Works Mist, Cucumber Melon, 236ml",,https://down-ph.img.susercontent.com/file/6ca8c09a949137bb5a27ab3aff87b4fa_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Cucumber-Melon-236ml-i.67102570.14689026053?sp_atk=2188413b-5f77-47f9-a366-337ab53dd162&xptdk=2188413b-5f77-47f9-a366-337ab53dd162
485,"Original Bath and Body Works Mist, Sweet Whiskey, 236ml",,https://down-ph.img.susercontent.com/file/08c7179c45eda950a5a69e470814a660_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Sweet-Whiskey-236ml-i.67102570.21218603750?sp_atk=10f85242-a272-48f3-918d-380f5997cd24&xptdk=10f85242-a272-48f3-918d-380f5997cd24
495,"Original Bath and Body Works Mist, Love Always Win (Sun-Washed Citrus), 236ml",1 sold,https://down-ph.img.susercontent.com/file/5b9b99365dd3048bb344abb6485b980c_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Love-Always-Win-(Sun-Washed-Citrus)-236ml-i.67102570.17277281526?sp_atk=799beaf6-b3a3-46ff-aa87-8de19dcba795&xptdk=799beaf6-b3a3-46ff-aa87-8de19dcba795
690,"Victoria's Secret Mist, Bare Vanilla, 250ml",,https://down-ph.img.susercontent.com/file/0a61040bf248ee18cb8843dd5a869c6e_tn,https://shopee.ph/Victoria's-Secret-Mist-Bare-Vanilla-250ml-i.67102570.20024150499?sp_atk=0f812b22-1aab-4536-897c-4ecc2c2faf99&xptdk=0f812b22-1aab-4536-897c-4ecc2c2faf99
519,"Body Fantasies Body Spray, Vanilla, 8oz / 236ml",,,https://shopee.ph/Body-Fantasies-Body-Spray-Vanilla-8oz-236ml-i.67102570.19217453290?sp_atk=4b42f930-6a6f-437c-9501-d72321e0ee93&xptdk=4b42f930-6a6f-437c-9501-d72321e0ee93
555,"Original Bath and Body Works Mist, Gingham Heart of Gold, 236ml",,https://down-ph.img.susercontent.com/file/07f6b55a266ca08ad93bdfbffa564916_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Gingham-Heart-of-Gold-236ml-i.67102570.18616372113?sp_atk=465aa679-4ea5-4c7b-abbd-2b058185db7d&xptdk=465aa679-4ea5-4c7b-abbd-2b058185db7d
